step,num_vehicles,tls_id,phase,avg_waiting_time,avg_queue_length
0,1,tls_1,0,10.0,2.0
1,1,tls_1,0,10.0,2.0
2,1,tls_1,0,10.0,2.0
3,1,tls_1,0,10.0,2.0
4,1,tls_1,0,10.0,2.0
5,1,tls_1,0,10.0,2.0
6,1,tls_1,0,10.0,2.0
7,1,tls_1,0,10.0,2.0
8,1,tls_1,0,10.0,2.0
9,1,tls_1,0,10.0,2.0
10,1,tls_1,0,10.0,2.0
11,1,tls_1,0,10.0,2.0
12,1,tls_1,0,10.0,2.0
13,1,tls_1,0,10.0,2.0
14,1,tls_1,0,10.0,2.0
15,1,tls_1,0,10.0,2.0
16,1,tls_1,0,10.0,2.0
17,1,tls_1,0,10.0,2.0
18,1,tls_1,0,10.0,2.0
19,1,tls_1,0,10.0,2.0
20,1,tls_1,0,10.0,2.0
21,1,tls_1,0,10.0,2.0
22,1,tls_1,0,10.0,2.0
23,1,tls_1,0,10.0,2.0
24,1,tls_1,0,10.0,2.0
25,1,tls_1,0,10.0,2.0
26,1,tls_1,0,10.0,2.0
27,1,tls_1,0,10.0,2.0
28,1,tls_1,0,10.0,2.0
29,1,tls_1,0,10.0,2.0
30,1,tls_1,0,10.0,2.0
31,1,tls_1,0,10.0,2.0
32,1,tls_1,0,10.0,2.0
33,1,tls_1,0,10.0,2.0
34,1,tls_1,0,10.0,2.0
35,1,tls_1,0,10.0,2.0
36,1,tls_1,0,10.0,2.0
37,1,tls_1,0,10.0,2.0
38,1,tls_1,0,10.0,2.0
39,1,tls_1,0,10.0,2.0
40,1,tls_1,0,10.0,2.0
41,1,tls_1,0,10.0,2.0
42,1,tls_1,0,10.0,2.0
43,1,tls_1,0,10.0,2.0
44,1,tls_1,0,10.0,2.0
45,1,tls_1,0,10.0,2.0
46,1,tls_1,0,10.0,2.0
47,1,tls_1,0,10.0,2.0
48,1,tls_1,0,10.0,2.0
49,1,tls_1,0,10.0,2.0
50,1,tls_1,0,10.0,2.0
51,1,tls_1,0,10.0,2.0
52,1,tls_1,0,10.0,2.0
53,1,tls_1,0,10.0,2.0
54,1,tls_1,0,10.0,2.0
55,1,tls_1,0,10.0,2.0
56,1,tls_1,0,10.0,2.0
57,1,tls_1,0,10.0,2.0
58,1,tls_1,0,10.0,2.0
59,1,tls_1,0,10.0,2.0
60,1,tls_1,0,10.0,2.0
61,1,tls_1,0,10.0,2.0
62,1,tls_1,0,10.0,2.0
63,1,tls_1,0,10.0,2.0
64,1,tls_1,0,10.0,2.0
65,1,tls_1,0,10.0,2.0
66,1,tls_1,0,10.0,2.0
67,1,tls_1,0,10.0,2.0
68,1,tls_1,0,10.0,2.0
69,1,tls_1,0,10.0,2.0
70,1,tls_1,0,10.0,2.0
71,1,tls_1,0,10.0,2.0
72,1,tls_1,0,10.0,2.0
73,1,tls_1,0,10.0,2.0
74,1,tls_1,0,10.0,2.0
75,1,tls_1,0,10.0,2.0
76,1,tls_1,0,10.0,2.0
77,1,tls_1,0,10.0,2.0
78,1,tls_1,0,10.0,2.0
79,1,tls_1,0,10.0,2.0
80,1,tls_1,0,10.0,2.0
81,1,tls_1,0,10.0,2.0
82,1,tls_1,0,10.0,2.0
83,1,tls_1,0,10.0,2.0
84,1,tls_1,0,10.0,2.0
85,1,tls_1,0,10.0,2.0
86,1,tls_1,0,10.0,2.0
87,1,tls_1,0,10.0,2.0
88,1,tls_1,0,10.0,2.0
89,1,tls_1,0,10.0,2.0
90,1,tls_1,0,10.0,2.0
91,1,tls_1,0,10.0,2.0
92,1,tls_1,0,10.0,2.0
93,1,tls_1,0,10.0,2.0
94,1,tls_1,0,10.0,2.0
95,1,tls_1,0,10.0,2.0
96,1,tls_1,0,10.0,2.0
97,1,tls_1,0,10.0,2.0
98,1,tls_1,0,10.0,2.0
99,1,tls_1,0,10.0,2.0
